,runnumber
638,17836
639,17837
640,17838
641,17848
642,17849
643,17850
644,17851
645,17852
646,17853
647,17854
648,17860
649,17869
650,17870
651,17871
652,17872
653,17873
654,17876
655,17877
656,17878
657,17879
658,17880
659,17881
660,17882
661,17887
662,17888
663,17889
664,17890
665,17891
666,17892
667,17893
668,17894
669,17895
670,17896
671,17899
672,17900
673,17901
674,17902
675,17903
676,17904
677,17905
678,17911
679,17912
680,17913
681,17914
682,17915
683,17916
684,17917
685,17918
686,17919
687,17920
688,17921
689,17922
690,17935
691,17936
692,17937
693,17940
694,17941
695,17942
696,17943
697,17944
698,17945
699,17946
700,17947
701,17948
702,17949
703,17950
704,17951
705,17952
706,17953
707,17954
708,17955
709,17956
710,17957
711,17967
712,17968
713,17969
714,17970
715,17971
716,17972
717,17973
718,17974
719,17975
720,17976
721,17977
722,17978
723,17979
724,17980
725,17981
726,17982
727,17983
728,17984
729,17985
730,17986
731,17987
732,17988
733,17989
734,17994
735,17995
736,17996
737,17997
738,17998
739,17999
740,18001
741,18002
742,18003
743,18004
744,18005
745,18006
746,18007
747,18008
748,18009
749,18010
750,18011
751,18012
752,18013
753,18014
754,18015
755,18016
756,18017
757,18018
758,18019
759,18020
760,18021
761,18022
762,18025
763,18026
764,18027
765,18028
766,18029
767,18032
768,18033
769,18034
770,18035
771,18036
772,18037
773,18038
774,18039
775,18040
776,18041
777,18042
778,18048
779,18052
780,18057
781,18059
782,18063
783,18064
784,18065
785,18066
786,18067
787,18068
788,18069
789,18070
790,18071
791,18073
792,18074
793,18075
794,18080
795,18081
796,18082
797,18083
798,18084
799,18085
800,18086
801,18087
802,18088
803,18089
804,18090
805,18091
806,18092
807,18093
808,18094
809,18095
810,18096
811,18097
812,18098
813,18099
814,18100
815,18101
816,18102
817,18103
818,18106
819,18107
820,18108
821,18109
822,18110
823,18111
824,18112
825,18113
826,18114
827,18115
828,18116
829,18117
830,18118
831,18119
832,18120
833,18121
834,18122
835,18123
836,18126
837,18127
838,18128
839,18129
840,18130
841,18131
842,18132
843,18133
844,18134
845,18135
846,18136
847,18137
848,18138
849,18139
850,18140
851,18141
852,18142
853,18143
854,18144
855,18147
856,18148
857,18150
858,18153
859,18154
860,18155
861,18156
862,18157
863,18158
864,18159
865,18160
866,18161
867,18162
868,18163
869,18164
870,18165
871,18166
872,18167
873,18168
874,18171
875,18172
876,18173
877,18174
878,18175
879,18176
880,18177
881,18178
882,18179
883,18180
884,18181
885,18182
886,18183
887,18184
888,18185
